06100026 00000126 ['399', '118', '728', '392']
06100024 00000254 ['733', '159', '804', '260']
06100024 00000183 ['181', '389', '269', '490']
06100024 00000201 ['715', '313', '788', '391']
06100024 00000111 ['227', '176', '274', '246']
06100024 00000125 ['681', '1008', '754', '1070']
06100024 00000149 ['498', '88', '562', '139']
06100024 00000132 ['599', '596', '668', '690']
06100024 00000184 ['509', '353', '585', '428']
06100024 00000203 ['679', '627', '762', '666']
06100024 00000127 ['768', '396', '855', '476']
06100024 00000253 ['128', '1155', '210', '1198']
06100024 00000130 ['366', '785', '438', '843']
06100024 00000083 ['204', '788', '289', '865']
06100024 00000239 ['527', '543', '616', '611']
06100024 00000011 ['516', '170', '580', '239']
06100024 00000194 ['400', '574', '474', '629']
06100024 00000132 ['206', '109', '263', '187']
06100024 00000105 ['597', '924', '630', '968']
06100024 00000108 ['683', '383', '729', '433']
06100024 00000109 ['306', '202', '364', '256']
06100024 00000244 ['362', '584', '433', '667']
06100024 00000109 ['506', '204', '573', '274']
06100024 00000254 ['168', '507', '211', '558']
06100024 00000186 ['240', '611', '256', '666']
06100024 00000132 ['280', '423', '343', '496']
06100024 00000236 ['731', '68', '803', '132']
06100024 00000129 ['31', '41', '104', '118']
06100024 00000132 ['46', '205', '122', '323']
06100024 00000130 ['718', '69', '771', '136']
06100024 00000131 ['549', '592', '593', '648']
06100024 00000132 ['592', '199', '648', '261']
06100024 00000149 ['383', '768', '470', '837']
06100024 00000244 ['257', '134', '314', '170']
06100024 00000108 ['754', '305', '802', '340']
06100024 00000130 ['723', '141', '777', '215']
06100024 00000258 ['270', '360', '342', '607']
06100024 00000125 ['682', '885', '759', '928']
06100024 00000258 ['423', '851', '462', '895']
06100024 00000132 ['365', '411', '412', '491']
06100024 00000238 ['416', '780', '492', '859']
06100024 00000200 ['307', '858', '352', '939']
06100024 00000192 ['172', '910', '237', '974']
06100024 00000293 ['363', '382', '450', '451']
06100024 00000264 ['807', '743', '821', '771']
06100024 00000127 ['141', '386', '177', '428']
06100024 00000125 ['682', '938', '742', '991']
06100024 00000250 ['237', '828', '326', '937']
06100024 00000203 ['693', '127', '763', '197']
06100024 00000111 ['700', '319', '744', '386']
06100024 00000200 ['603', '70', '692', '147']
06100024 00000108 ['531', '306', '591', '374']
06100024 00000083 ['232', '472', '287', '531']
06100024 00000126 ['178', '924', '228', '981']
06100024 00000130 ['461', '204', '520', '258']
06100024 00000083 ['324', '457', '392', '521']
06100024 00000083 ['237', '1000', '264', '1037']
06100012 00000110 ['356', '636', '443', '704']
06100012 00000130 ['561', '714', '621', '776']
06100012 00000075 ['611', '710', '641', '751']
06100012 00000116 ['596', '1535', '696', '1636']
06100012 00000121 ['210', '575', '258', '615']
06100012 00000120 ['344', '778', '443', '902']
06100012 00000121 ['400', '476', '456', '538']
06100012 00000108 ['914', '1578', '963', '1625']
06100012 00000108 ['909', '1402', '956', '1458']
06100012 00000120 ['334', '207', '449', '362']
06100012 00000075 ['244', '202', '278', '231']
06100012 00000130 ['468', '725', '528', '769']
06100012 00000110 ['533', '277', '612', '351']
06100012 00000108 ['1053', '484', '1105', '540']
06100012 00000131 ['287', '600', '324', '637']
06100012 00000120 ['535', '203', '658', '328']
06100012 00000120 ['338', '404', '459', '523']
06100012 00000078 ['486', '528', '542', '603']
06100012 00000078 ['382', '281', '450', '338']
06100012 00000075 ['88', '251', '119', '281']
06100012 00000114 ['636', '248', '698', '315']
06100012 00000078 ['26', '162', '68', '233']
06100012 00000114 ['432', '247', '499', '310']
06100012 00000114 ['434', '631', '487', '699']
06100012 00000078 ['321', '877', '364', '920']
06100012 00000114 ['812', '642', '871', '704']
06100012 00000158 ['88', '408', '172', '484']
06100012 00000075 ['606', '838', '643', '875']
06100012 00000158 ['90', '741', '170', '834']
06100012 00000114 ['332', '343', '385', '412']
06100012 00000108 ['425', '1569', '466', '1605']
06100012 00000130 ['97', '707', '157', '768']
06100012 00000108 ['1169', '859', '1220', '910']
06100012 00000110 ['352', '1594', '444', '1685']
06100012 00000027 ['351', '563', '388', '629']
06100012 00000108 ['553', '784', '614', '833']
06100012 00000108 ['427', '1636', '480', '1673']
06100012 00000108 ['651', '584', '704', '640']
06100012 00000114 ['1013', '257', '1075', '323']
06100012 00000075 ['312', '751', '349', '785']
06100012 00000108 ['1162', '690', '1216', '744']
06100012 00000108 ['314', '1468', '354', '1521']
06100012 00000078 ['391', '779', '440', '827']
06100012 00000108 ['545', '197', '593', '236']
06100012 00000078 ['10', '731', '75', '819']
06100012 00000114 ['813', '255', '874', '311']
06100012 00000075 ['37', '703', '64', '728']
06100012 00000114 ['1026', '364', '1074', '404']
06100012 00000114 ['526', '799', '595', '888']
06100012 00000116 ['638', '407', '693', '528']
06100012 00000078 ['19', '323', '71', '380']
06100012 00000121 ['507', '96', '552', '163']
06100012 00000078 ['477', '400', '530', '447']
06100012 00000114 ['1114', '832', '1168', '896']
06100012 00000158 ['553', '180', '616', '273']
06100012 00000078 ['311', '785', '363', '853']
06100012 00000158 ['575', '646', '607', '684']
06100012 00000114 ['426', '542', '492', '606']
06100012 00000108 ['1055', '411', '1097', '465']
06100012 00000116 ['797', '974', '938', '1080']
06100012 00000108 ['1049', '327', '1102', '377']
06100012 00000114 ['541', '443', '581', '506']
06100012 00000158 ['551', '76', '627', '144']
06100012 00000121 ['506', '468', '554', '539']
06100012 00000114 ['820', '160', '862', '212']
06100012 00000131 ['97', '225', '145', '284']
06100012 00000027 ['339', '665', '387', '701']
06100012 00000158 ['416', '513', '456', '564']
06100012 00000116 ['67', '138', '220', '240']
06100012 00000075 ['254', '601', '285', '634']
06100012 00000108 ['425', '1430', '469', '1474']
06100012 00000108 ['548', '444', '600', '505']
06100012 00000130 ['294', '442', '340', '505']
06100012 00000108 ['1059', '741', '1108', '793']
06100012 00000078 ['200', '154', '262', '247']
06100012 00000121 ['203', '480', '257', '543']
06100012 00000120 ['329', '1535', '445', '1661']
06100012 00000116 ['809', '567', '918', '704']
06100012 00000121 ['409', '188', '446', '251']
06100012 00000078 ['29', '396', '65', '464']
06100012 00000108 ['429', '702', '481', '749']
06100012 00000108 ['561', '867', '597', '922']
06100012 00000108 ['443', '545', '470', '583']
06100012 00000108 ['1039', '1663', '1099', '1719']
06100012 00000130 ['475', '257', '520', '323']
06100012 00000108 ['312', '1799', '352', '1842']
06100012 00000078 ['110', '398', '168', '461']
06100012 00000130 ['198', '448', '254', '494']
06100012 00000121 ['309', '289', '352', '336']
06100012 00000108 ['1059', '561', '1101', '616']
06100012 00000118 ['548', '1357', '635', '1433']
06100012 00000075 ['469', '698', '505', '752']
06100012 00000110 ['706', '1460', '800', '1535']
06100012 00000108 ['1067', '865', '1109', '906']
06100012 00000114 ['540', '154', '584', '198']
06100012 00000027 ['585', '841', '644', '898']
06100012 00000108 ['526', '1666', '565', '1719']
06100012 00000110 ['901', '526', '953', '601']
06100012 00000158 ['98', '522', '152', '614']
06100012 00000116 ['610', '1350', '678', '1454']
06100012 00000130 ['466', '358', '524', '412']
06100012 00000078 ['14', '557', '72', '635']
06100012 00000078 ['208', '269', '263', '341']
06100012 00000114 ['922', '352', '969', '414']
06100012 00000078 ['404', '711', '433', '753']
06100052 00000057 ['124', '600', '253', '740']
06100052 00000042 ['580', '467', '652', '566']
06100052 00000063 ['465', '504', '594', '619']
06100052 00000021 ['432', '382', '467', '423']
06100052 00000028 ['584', '725', '668', '799']
06100052 00000022 ['311', '750', '376', '792']
06100052 00000091 ['164', '245', '230', '336']
06100052 00000036 ['602', '473', '668', '574']
06100052 00000059 ['506', '766', '568', '829']
06100052 00000081 ['566', '803', '731', '937']
06100052 00000088 ['139', '518', '207', '629']
06100052 00000085 ['413', '508', '441', '547']
06100052 00000018 ['744', '489', '784', '540']
06100052 00000025 ['110', '240', '185', '310']
06100052 00000057 ['4', '247', '114', '338']
06100052 00000093 ['352', '361', '401', '402']
06100052 00000053 ['408', '322', '475', '362']
06100052 00000027 ['320', '810', '421', '867']
06100052 00000032 ['410', '687', '506', '749']
06100052 00000093 ['33', '454', '76', '511']
06100052 00000053 ['417', '786', '470', '857']
06100052 00000092 ['337', '737', '421', '798']
06100052 00000093 ['48', '516', '71', '550']
06100052 00000024 ['439', '689', '547', '755']
06100052 00000019 ['525', '687', '596', '778']
06100052 00000017 ['653', '526', '736', '586']
06100052 00000016 ['135', '311', '223', '438']
06100052 00000093 ['516', '693', '546', '736']
06100052 00000080 ['328', '487', '445', '635']
06100052 00000055 ['342', '626', '408', '733']
06100052 00000026 ['301', '995', '383', '1088']
06100052 00000016 ['741', '397', '832', '494']
06100052 00000083 ['409', '542', '533', '673']
06100052 00000093 ['348', '574', '389', '610']
06100052 00000019 ['163', '579', '200', '618']
06100052 00000069 ['403', '912', '510', '992']
06100052 00000030 ['396', '1035', '475', '1080']
06100052 00000035 ['223', '538', '291', '608']
06100052 00000074 ['688', '545', '759', '640']
06100052 00000044 ['160', '147', '298', '297']
06100052 00000068 ['521', '188', '618', '317']
06100052 00000020 ['639', '257', '710', '322']
06100052 00000043 ['199', '204', '329', '311']
06100052 00000046 ['415', '180', '508', '314']
06100052 00000056 ['663', '512', '745', '614']
06100052 00000021 ['417', '594', '479', '641']
06100052 00000056 ['779', '800', '841', '883']
06100052 00000023 ['209', '214', '266', '280']
06100052 00000037 ['219', '523', '278', '565']
06100052 00000018 ['670', '469', '712', '537']
06100052 00000024 ['166', '991', '228', '1054']
06100052 00000053 ['666', '115', '722', '197']
06100052 00000085 ['262', '358', '303', '387']
06100052 00000016 ['462', '527', '506', '590']
06100052 00000090 ['249', '795', '340', '901']
06100052 00000030 ['505', '301', '610', '388']
06100052 00000027 ['437', '350', '539', '467']
06100052 00000037 ['324', '293', '376', '352']
06100052 00000093 ['511', '641', '552', '687']
06100052 00000084 ['327', '474', '448', '566']
06100052 00000020 ['481', '253', '542', '335']
06100052 00000016 ['758', '864', '823', '941']
06100052 00000063 ['302', '645', '432', '741']
06100052 00000093 ['351', '446', '390', '498']
06100052 00000027 ['597', '182', '701', '254']
06100052 00000093 ['669', '427', '700', '462']
06100052 00000066 ['438', '359', '517', '472']
06100052 00000023 ['579', '222', '655', '303']
06100052 00000028 ['313', '569', '390', '649']
06100052 00000029 ['256', '770', '339', '821']
06100052 00000074 ['438', '576', '506', '659']
06100052 00000026 ['670', '841', '765', '914']
06100052 00000085 ['481', '595', '524', '626']
06100052 00000022 ['418', '956', '453', '1001']
06100052 00000023 ['114', '157', '204', '277']
06100052 00000092 ['192', '336', '252', '433']
06100052 00000031 ['631', '722', '711', '809']
06100052 00000063 ['307', '967', '382', '1089']
06100052 00000093 ['349', '613', '389', '673']
06100052 00000024 ['456', '244', '533', '316']
06100052 00000085 ['410', '447', '445', '490']
06100052 00000039 ['411', '835', '483', '936']
06100052 00000083 ['226', '916', '363', '1031']
06100052 00000043 ['560', '605', '703', '771']
06100052 00000088 ['513', '309', '601', '367']
06100052 00000022 ['572', '627', '660', '732']
06100052 00000022 ['206', '523', '299', '617']
06100052 00000020 ['224', '552', '273', '620']
06100052 00000088 ['238', '856', '338', '970']
06100052 00000020 ['638', '171', '702', '229']
06100052 00000030 ['509', '198', '615', '280']
06100052 00000037 ['436', '660', '465', '714']
06100052 00000035 ['196', '853', '298', '947']
06100052 00000022 ['588', '750', '651', '810']
06100052 00000022 ['489', '182', '555', '261']
06100052 00000031 ['520', '646', '590', '697']
06100052 00000004 ['723', '225', '802', '298']
06100052 00000033 ['494', '1048', '588', '1125']
06100052 00000092 ['192', '568', '251', '666']
06100052 00000004 ['452', '224', '527', '283']
06100052 00000023 ['659', '291', '744', '369']
06100052 00000092 ['272', '488', '337', '558']
06100052 00000021 ['409', '917', '484', '977']
06100052 00000087 ['655', '698', '742', '802']
06100052 00000024 ['308', '370', '391', '443']
06100052 00000029 ['395', '189', '462', '237']
06100052 00000022 ['501', '790', '569', '864']
06100052 00000022 ['232', '179', '289', '251']
06100052 00000065 ['217', '121', '309', '206']
06100052 00000022 ['674', '217', '760', '313']
06100052 00000016 ['289', '268', '371', '356']
06100052 00000035 ['349', '289', '435', '372']
06100052 00000036 ['162', '233', '220', '294']
06100052 00000047 ['580', '167', '682', '283']
06100052 00000084 ['489', '183', '641', '301']
06100052 00000026 ['552', '433', '643', '522']
06100052 00000089 ['303', '477', '346', '525']
06100052 00000021 ['496', '240', '561', '311']
06100052 00000017 ['184', '575', '290', '644']
06100052 00000034 ['551', '295', '624', '375']
06100052 00000027 ['179', '270', '279', '332']
06100052 00000021 ['495', '655', '572', '726']
06100052 00000037 ['528', '293', '584', '357']
06100052 00000090 ['360', '788', '484', '886']
06100052 00000090 ['494', '898', '585', '1007']
06100052 00000088 ['520', '361', '586', '457']
06100052 00000019 ['25', '686', '67', '722']
06100052 00000026 ['173', '398', '251', '475']
06100052 00000027 ['204', '863', '270', '905']
06100052 00000040 ['605', '592', '714', '753']
06100052 00000025 ['369', '164', '438', '226']
06100052 00000031 ['518', '913', '592', '1010']
06100052 00000057 ['481', '654', '566', '767']
06100052 00000053 ['410', '105', '478', '168']
06100052 00000076 ['664', '470', '791', '578']
06100052 00000032 ['142', '1051', '220', '1119']
06100052 00000085 ['493', '234', '522', '276']
06100052 00000029 ['376', '708', '471', '806']
06100052 00000031 ['383', '755', '465', '845']
06100052 00000085 ['641', '437', '672', '472']
06100052 00000082 ['156', '861', '265', '987']
06100052 00000084 ['148', '226', '262', '348']
06100052 00000036 ['595', '603', '688', '691']
06100052 00000077 ['7', '1065', '96', '1115']
06100052 00000074 ['549', '533', '627', '641']
06100052 00000073 ['149', '569', '185', '649']
06100052 00000069 ['527', '691', '591', '792']
06100052 00000025 ['82', '854', '161', '907']
06100052 00000092 ['795', '278', '901', '604']
06100052 00000087 ['385', '860', '475', '923']
06100052 00000084 ['320', '230', '444', '339']
06100052 00000088 ['366', '535', '456', '614']
06100052 00000022 ['564', '561', '667', '623']
06100052 00000022 ['403', '563', '465', '627']
06100052 00000038 ['737', '655', '803', '706']
06100052 00000063 ['132', '265', '259', '375']
06100052 00000066 ['154', '886', '237', '1003']
06100052 00000030 ['661', '830', '732', '886']
06100052 00000020 ['218', '482', '272', '549']
06100052 00000087 ['405', '248', '503', '353']
06100052 00000048 ['777', '306', '880', '419']
06100052 00000031 ['509', '202', '585', '279']
06100052 00000068 ['545', '838', '633', '924']
06100052 00000074 ['685', '219', '738', '289']
06100052 00000022 ['588', '899', '664', '993']
06100052 00000017 ['656', '296', '722', '405']
06100052 00000087 ['663', '247', '742', '344']
06100052 00000046 ['577', '333', '685', '420']
06100052 00000022 ['397', '107', '485', '174']
06100052 00000089 ['417', '1064', '483', '1143']
06100052 00000021 ['411', '258', '483', '327']
06100052 00000068 ['276', '507', '343', '582']
06100052 00000043 ['353', '669', '487', '765']
06100052 00000024 ['432', '843', '534', '931']
06100052 00000017 ['336', '151', '406', '287']
06100052 00000046 ['579', '433', '705', '562']
06100052 00000019 ['659', '290', '744', '408']
06100052 00000067 ['391', '416', '461', '468']
06100052 00000093 ['669', '321', '703', '354']
06100052 00000085 ['398', '236', '466', '294']
06100052 00000023 ['610', '878', '650', '932']
06100052 00000036 ['164', '820', '233', '874']
06100052 00000023 ['224', '491', '289', '557']
06100052 00000055 ['333', '312', '411', '401']
06100052 00000036 ['310', '541', '371', '642']
06100052 00000019 ['20', '243', '72', '331']
06100052 00000090 ['376', '491', '467', '596']
06100052 00000013 ['273', '365', '356', '511']
06100052 00000084 ['341', '581', '478', '716']
06100052 00000018 ['207', '483', '242', '513']
06100052 00000023 ['212', '834', '300', '887']
06100052 00000059 ['512', '219', '633', '306']
06100052 00000026 ['545', '712', '641', '776']
06100052 00000084 ['148', '520', '302', '677']
06100052 00000004 ['603', '914', '668', '1001']
06100052 00000025 ['373', '241', '438', '321']
06100052 00000080 ['151', '343', '257', '458']
06100052 00000053 ['282', '605', '339', '649']
06100052 00000053 ['407', '574', '488', '651']
06100052 00000013 ['580', '999', '710', '1164']
06100052 00000093 ['116', '456', '153', '512']
06100052 00000025 ['599', '778', '676', '858']
06100052 00000028 ['316', '662', '386', '736']
06100052 00000053 ['264', '453', '337', '519']
06100052 00000026 ['215', '1003', '248', '1025']
06100052 00000004 ['726', '526', '804', '614']
06100052 00000070 ['545', '321', '625', '472']
06100052 00000012 ['143', '801', '280', '938']
06100052 00000021 ['421', '645', '481', '718']
06100052 00000017 ['637', '604', '746', '706']
06100052 00000056 ['308', '423', '369', '518']
06100052 00000033 ['359', '975', '452', '1037']
06100052 00000032 ['410', '930', '486', '1000']
06100052 00000027 ['456', '268', '540', '334']
06100052 00000016 ['146', '651', '222', '731']
06100052 00000049 ['185', '625', '304', '713']
06100052 00000026 ['672', '572', '747', '653']
06100052 00000020 ['380', '393', '453', '464']
06100052 00000068 ['293', '601', '331', '643']
06100052 00000045 ['212', '450', '329', '586']
06100052 00000085 ['335', '378', '385', '419']
06100052 00000028 ['581', '916', '653', '985']
06100052 00000033 ['361', '881', '437', '962']
06100052 00000085 ['407', '703', '448', '737']
06100052 00000092 ['209', '665', '261', '730']
06100052 00000077 ['2', '757', '92', '869']
06100052 00000057 ['122', '762', '240', '857']
06100052 00000081 ['395', '729', '516', '831']
06100052 00000017 ['477', '149', '579', '234']
06100052 00000021 ['59', '317', '146', '381']
06100052 00000020 ['649', '621', '716', '687']
06100052 00000066 ['426', '619', '520', '734']
06100052 00000055 ['104', '437', '193', '517']
06100052 00000053 ['653', '752', '736', '820']
06100052 00000033 ['356', '691', '453', '791']
06100052 00000022 ['390', '473', '469', '550']
06100052 00000056 ['430', '489', '515', '610']
06100052 00000034 ['283', '454', '365', '560']
06100052 00000021 ['581', '154', '656', '226']
06100052 00000021 ['484', '316', '564', '379']
06100052 00000031 ['618', '470', '708', '575']
06100052 00000017 ['214', '827', '288', '899']
06100052 00000089 ['302', '542', '341', '602']
06100052 00000089 ['416', '227', '488', '337']
06100052 00000004 ['442', '892', '541', '981']
06100052 00000026 ['297', '640', '381', '729']
06100052 00000022 ['683', '454', '743', '508']
06100052 00000065 ['215', '613', '293', '700']
06100052 00000067 ['656', '195', '729', '301']
06100052 00000045 ['586', '369', '710', '557']
06100052 00000044 ['177', '297', '261', '450']
06100052 00000045 ['194', '599', '293', '718']
06100052 00000053 ['7', '219', '74', '300']
06100052 00000030 ['128', '489', '197', '547']
06100052 00000077 ['127', '299', '236', '406']
06100052 00000033 ['504', '282', '587', '351']
06100052 00000092 ['536', '729', '654', '872']
06100052 00000029 ['130', '189', '218', '251']
06100052 00000082 ['164', '705', '307', '860']
06100052 00000004 ['308', '335', '379', '407']
06100052 00000042 ['787', '600', '878', '737']
06100052 00000034 ['680', '826', '750', '883']
06100052 00000016 ['597', '703', '666', '833']
06100052 00000027 ['594', '276', '698', '366']
06100052 00000030 ['391', '196', '454', '272']
06100052 00000053 ['20', '308', '68', '346']
06100052 00000090 ['396', '1032', '485', '1107']
06100052 00000029 ['260', '496', '332', '563']
06100052 00000059 ['368', '373', '447', '440']
06100052 00000085 ['552', '618', '606', '668']
06100052 00000046 ['181', '294', '314', '421']
06100052 00000065 ['641', '375', '724', '432']
06100052 00000057 ['459', '321', '586', '441']
06100052 00000028 ['583', '530', '674', '633']
06100052 00000022 ['784', '648', '841', '700']
06100052 00000089 ['409', '348', '491', '471']
06100052 00000035 ['216', '455', '289', '522']
06100052 00000023 ['680', '772', '759', '824']
06100052 00000091 ['498', '132', '546', '198']
06100052 00000023 ['463', '199', '577', '274']
06100052 00000012 ['363', '559', '449', '686']
06100052 00000018 ['587', '264', '630', '318']
06100052 00000077 ['144', '503', '218', '564']
06100052 00000021 ['571', '735', '655', '800']
06100052 00000080 ['338', '901', '430', '968']
06100052 00000020 ['117', '160', '180', '201']
06100052 00000020 ['218', '310', '287', '346']
06100052 00000093 ['593', '486', '624', '508']
06100052 00000030 ['411', '903', '474', '972']
06100052 00000077 ['1', '359', '91', '448']
06100052 00000050 ['374', '205', '501', '353']
06100052 00000037 ['532', '363', '590', '420']
06100052 00000057 ['302', '252', '442', '382']
06100052 00000034 ['546', '217', '646', '278']
06100052 00000091 ['371', '503', '463', '588']
06100052 00000073 ['301', '745', '434', '887']
06100052 00000032 ['282', '554', '362', '655']
06100052 00000075 ['463', '197', '566', '338']
06100052 00000030 ['261', '343', '345', '383']
06100052 00000020 ['118', '327', '190', '393']
06100052 00000065 ['210', '499', '276', '584']
06100052 00000074 ['159', '701', '231', '772']
06100052 00000063 ['315', '1115', '399', '1192']
06100052 00000089 ['535', '829', '601', '913']
06100052 00000021 ['71', '667', '127', '725']
06100052 00000089 ['528', '1020', '623', '1148']
06100052 00000034 ['675', '319', '769', '361']
06100052 00000085 ['334', '549', '379', '607']
06100052 00000053 ['546', '377', '603', '447']
06100052 00000026 ['539', '1002', '636', '1088']
06100052 00000087 ['289', '649', '364', '716']
06100052 00000018 ['817', '511', '865', '565']
06100052 00000065 ['354', '1031', '439', '1106']
06100052 00000017 ['657', '723', '737', '824']
06100052 00000020 ['227', '694', '284', '738']
06100052 00000043 ['561', '195', '736', '329']
06100052 00000029 ['264', '838', '336', '919']
06100052 00000022 ['210', '918', '290', '982']
06100052 00000030 ['662', '743', '741', '807']
06100052 00000068 ['439', '971', '481', '1063']
06100052 00000037 ['202', '823', '276', '889']
06100052 00000057 ['12', '574', '94', '692']
06100052 00000022 ['491', '113', '576', '183']
06100052 00000038 ['605', '637', '669', '698']
06100052 00000070 ['140', '357', '210', '482']
06100052 00000092 ['675', '375', '791', '460']
06100052 00000084 ['146', '675', '280', '807']
06100052 00000093 ['435', '734', '476', '774']
06100052 00000092 ['267', '569', '334', '644']
06100052 00000020 ['382', '256', '464', '318']
06100052 00000035 ['454', '749', '550', '820']
06100052 00000084 ['498', '892', '638', '1031']
06100052 00000068 ['297', '655', '329', '711']
06100052 00000083 ['399', '199', '516', '383']
06100052 00000032 ['422', '210', '502', '288']
06100052 00000038 ['596', '930', '673', '973']
06100052 00000092 ['542', '450', '665', '574']
06100052 00000066 ['596', '485', '671', '556']
06100052 00000022 ['778', '713', '863', '787']
06100052 00000089 ['303', '368', '353', '459']
06100052 00000028 ['192', '348', '264', '419']
06100052 00000088 ['391', '392', '488', '447']
06100052 00000025 ['340', '714', '421', '801']
06100052 00000065 ['640', '475', '715', '557']
06100052 00000053 ['14', '607', '94', '687']
06100052 00000075 ['298', '578', '418', '714']
06100052 00000025 ['217', '617', '291', '746']
06100052 00000093 ['278', '274', '316', '333']
06100052 00000043 ['167', '498', '332', '634']
06100052 00000026 ['415', '358', '515', '444']
06100052 00000087 ['532', '585', '626', '683']
06100052 00000070 ['270', '466', '365', '565']
06100052 00000023 ['678', '837', '756', '906']
06100052 00000022 ['673', '696', '767', '786']
06100052 00000053 ['140', '697', '209', '745']
06100052 00000090 ['507', '107', '594', '257']
06100052 00000040 ['805', '412', '879', '519']
06100052 00000037 ['206', '391', '274', '460']
06100052 00000029 ['532', '548', '591', '639']
06100052 00000032 ['263', '686', '358', '750']
06100052 00000081 ['212', '181', '346', '311']
06100052 00000087 ['401', '483', '496', '574']
06100052 00000023 ['464', '286', '575', '363']
06100052 00000030 ['257', '735', '353', '835']
06100052 00000025 ['471', '813', '549', '874']
06100052 00000048 ['753', '564', '887', '667']
06100052 00000090 ['522', '351', '585', '442']
06100052 00000023 ['684', '530', '744', '587']
06100052 00000087 ['299', '717', '355', '814']
06100052 00000033 ['643', '393', '713', '447']
06100052 00000016 ['749', '256', '813', '360']
06100052 00000069 ['521', '799', '624', '885']
06100052 00000034 ['572', '669', '612', '724']
06100052 00000085 ['336', '495', '377', '531']
06100052 00000063 ['614', '578', '715', '675']
06100052 00000021 ['502', '548', '547', '577']
06100052 00000055 ['588', '584', '664', '703']
06100052 00000038 ['732', '336', '801', '428']
06100052 00000028 ['189', '282', '271', '320']
06100052 00000091 ['272', '740', '345', '852']
06100052 00000049 ['187', '192', '337', '337']
06100052 00000056 ['661', '647', '720', '738']
06100052 00000045 ['403', '524', '484', '581']
06100052 00000026 ['671', '1001', '747', '1077']
06100052 00000053 ['530', '191', '593', '274']
06100052 00000031 ['502', '801', '590', '900']
06100052 00000055 ['339', '552', '413', '601']
06100052 00000070 ['547', '197', '625', '292']
06100052 00000066 ['438', '758', '523', '891']
06100052 00000021 ['325', '252', '395', '325']
06100052 00000048 ['191', '184', '315', '322']
06100052 00000012 ['177', '502', '279', '622']
06100052 00000038 ['459', '637', '533', '693']
06100052 00000082 ['518', '592', '672', '705']
06100052 00000059 ['338', '94', '455', '275']
06100052 00000081 ['560', '940', '725', '1068']
06100052 00000066 ['146', '509', '246', '595']
06100052 00000028 ['312', '912', '387', '991']
06100052 00000023 ['402', '696', '493', '789']
06100052 00000092 ['429', '413', '529', '539']
06100052 00000026 ['560', '622', '626', '689']
06100052 00000032 ['428', '392', '499', '449']
06100052 00000082 ['339', '435', '446', '566']
06100052 00000057 ['154', '291', '266', '418']
06100052 00000017 ['92', '694', '143', '766']
06100052 00000081 ['400', '591', '515', '729']
06100052 00000021 ['240', '393', '313', '456']
06100052 00000027 ['445', '491', '534', '565']
06100052 00000024 ['451', '356', '546', '410']
06100052 00000070 ['251', '356', '343', '479']
06100052 00000029 ['495', '940', '595', '1028']
06100052 00000030 ['528', '785', '620', '877']
06100052 00000092 ['790', '843', '900', '962']
06100052 00000081 ['380', '913', '516', '1047']
06100052 00000017 ['337', '718', '437', '772']
06100052 00000018 ['427', '295', '461', '341']
06100052 00000031 ['252', '743', '324', '844']
06100052 00000023 ['658', '130', '744', '215']
06100052 00000089 ['291', '1066', '354', '1107']
06100052 00000067 ['517', '606', '587', '691']
06100052 00000066 ['307', '721', '368', '859']
06100052 00000092 ['805', '147', '901', '257']
06100052 00000020 ['219', '426', '295', '481']
06100052 00000029 ['132', '261', '196', '332']
06100052 00000032 ['407', '1023', '506', '1110']
06100052 00000087 ['432', '350', '489', '473']
06100052 00000004 ['453', '547', '532', '641']
06100052 00000022 ['673', '404', '748', '456']
06100052 00000025 ['591', '881', '667', '961']
06100052 00000034 ['288', '840', '368', '928']
06100052 00000090 ['507', '460', '585', '562']
06100052 00000082 ['339', '566', '460', '700']
06100052 00000092 ['374', '260', '443', '326']
06100052 00000034 ['419', '413', '495', '502']
06100052 00000028 ['202', '445', '250', '486']
06100052 00000067 ['536', '722', '581', '817']
06100052 00000092 ['194', '432', '267', '506']
06100052 00000090 ['252', '200', '346', '298']
06100052 00000033 ['349', '396', '457', '498']
06100052 00000018 ['425', '341', '458', '374']
06100052 00000019 ['375', '445', '471', '529']
06100052 00000039 ['386', '539', '510', '705']
06100052 00000028 ['305', '830', '397', '890']
06100052 00000080 ['504', '565', '661', '711']
06100052 00000028 ['320', '285', '402', '364']
06100052 00000019 ['22', '731', '62', '768']
06100052 00000036 ['284', '443', '380', '531']
06100052 00000026 ['171', '710', '253', '772']
06100052 00000088 ['411', '633', '461', '722']
06100052 00000022 ['484', '538', '565', '625']
06100052 00000067 ['641', '801', '751', '922']
06100052 00000032 ['289', '1064', '374', '1123']
06100052 00000025 ['337', '937', '409', '994']
06100052 00000032 ['141', '524', '225', '598']
06100052 00000093 ['596', '404', '622', '435']
06100052 00000073 ['111', '210', '234', '332']
06100052 00000044 ['733', '548', '879', '689']
06100052 00000017 ['494', '514', '576', '590']
06100052 00000024 ['172', '794', '240', '864']
06100052 00000035 ['488', '477', '563', '554']
06100052 00000057 ['317', '492', '430', '603']
06100052 00000093 ['435', '595', '475', '636']
06100052 00000033 ['363', '1054', '456', '1106']
06100052 00000031 ['250', '978', '326', '1030']
06100052 00000085 ['260', '231', '302', '282']
06100052 00000090 ['391', '102', '468', '192']
06100052 00000030 ['252', '557', '339', '631']
06100052 00000021 ['4', '794', '62', '837']
06100052 00000022 ['301', '303', '390', '373']
